disease,prescription
Psoriasis,"topical corticosteroids,salt baths,sunlight,tea tree oil"
Varicose Veins,"Get regular exercise,avoid salt,manage weight"
Typhoid,"Fluoroquinolones,CephalosporinsMacrolides"
Chicken pox,"Rest,Drink fluids,Take bathsTake acetaminophen"
Impetigo,"Antibiotics,Bleach bath,mupirocin ointment"
Dengue,"Rest,Pain relievers,Hydration"
Fungal infection,"Oral medication (pills),Lotion, cream or powder"
Common Cold,"Wash your hands,Take over-the-counter medications,Rest"
Pneumonia,"Antibiotics,Oxygen therapy,Intravenous (IV) line"
Dimorphic Hemorrhoids,"Eat foods high in fiber,Avoid straining during bowel movements,Apply over-the-counter hemorrhoid creams"
Arthritis,"Lifestyle changes,Acupuncture,Cognitive behavioral therapy"
Acne,"Antibiotics,Light therapy,Steroid injection"
Bronchial Asthma,"Inhalers,Long-term control medicines,Bronchial thermoplasty"
Hypertension,"Diet,Lifestyle management,Stress management"
Migraine,"Exercising regularly,Avoiding foods and drinks that trigger headaches,Eating regular meals and staying hydrated "
Cervical spondylosis,"Hot or cold compresses,Massage,Cognitive behavioral therapy"
Jaundice,"Phototherapy,Exchange transfusion,Hydration"
Malaria,"Artemisinin-based combination therapy (ACT),Chloroquine,Mefloquine"
urinary tract infection,"Trimethoprim and sulfamethoxazole,Fosfomycin,Nitrofurantoin"
allergy,"Avoid triggers,Take medications,Try immunotherapy"
gastroesophageal reflux disease,"Lifestyle changes,Antacids,Quitting smoking"
drug reaction,"Antihistamines,Bronchodilators,Adrenaline (epinephrine)"
peptic ulcer disease,"Antibiotics,Antacids,Lifestyle changes"
diabetes,"Insulin injections,Lifestyle changes,Oral medications"
